t,E_true,E_mod,mass
0,11.65201143,11.65201143,-0.008422930662
0.005,9.869613341,9.944957116,-0.008422930662
0.01,9.869552706,9.944924251,-0.008422930662
0.015,9.869535947,9.94487082,-0.008422930662
0.02,9.869519305,9.944798338,-0.008422930662
0.025,9.869499593,9.944704921,-0.008422930662
0.03,9.86947548,9.944586568,-0.008422930662
0.035,9.869445653,9.944437628,-0.008422930662
0.04,9.869408554,9.944250698,-0.008422930662
0.045,9.869362258,9.944016294,-0.008422930662
0.05,9.869304351,9.94372236,-0.008422930662
0.055,9.869231793,9.943353617,-0.008422930662
0.06,9.869140746,9.942890719,-0.008422930662
0.065,9.869026362,9.942309191,-0.008422930662
0.07,9.868882508,9.941578066,-0.008422930662
0.075,9.868701429,9.940658169,-0.008422930662
0.08,9.868473315,9.939499952,-0.008422930662
0.085,9.868185759,9.938040757,-0.008422930662
0.09,9.867823076,9.936201381,-0.008422930662
0.095,9.867365445,9.93388177,-0.008422930662
0.1,9.866787849,9.930955649,-0.008422930662
0.105,9.86605875,9.92726385,-0.008422930662
0.11,9.865138461,9.922606103,-0.008422930662
0.115,9.863977161,9.916731007,-0.008422930662
0.12,9.862512509,9.909323963,-0.008422930662
0.125,9.860666814,9.899992877,-0.008422930662
0.13,9.858343784,9.888251653,-0.008422930662
0.135,9.855424903,9.87350177,-0.008422930662
0.14,9.851765613,9.85501281,-0.008422930662
0.145,9.847191648,9.831903583,-0.008422930662
0.15,9.841496096,9.803126819,-0.008422930662
0.155,9.834438107,9.767462007,-0.008422930662
0.16,9.825744563,9.723523109,-0.008422930662
0.165,9.815116413,9.669790032,-0.008422930662
0.17,9.802241649,9.604674304,-0.008422930662
0.175,9.78681675,9.52662907,-0.008422930662
0.18,9.768577534,9.434309474,-0.008422930662
0.185,9.74733848,9.326779959,-0.008422930662
0.19,9.723036501,9.203749168,-0.008422930662
0.195,9.695771623,9.065793391,-0.008422930662
0.2,9.665834158,8.914512326,-0.008422930662
0.205,9.633707743,8.75255679,-0.008422930662
0.21,9.600041507,8.583486228,-0.008422930662
0.215,9.565592358,8.411455467,-0.008422930662
0.22,9.531147491,8.240782596,-0.008422930662
0.225,9.497443584,8.07549026,-0.008422930662
0.23,9.465099806,7.91892089,-0.008422930662
0.235,9.434576413,7.773498442,-0.008422930662
0.24,9.406162283,7.640659889,-0.008422930662
0.245,9.379987045,7.520932509,-0.008422930662
0.25,9.356049091,7.414105143,-0.008422930662
