t,cn_Emod,cn_Etrue,sav_Emod,sav_Etrue
0,1.75062991,1.75062991,1.75062991,1.75062991
0.01,1.588926731,1.572388111,1.605956906,1.570015448
0.02,1.582819313,1.567381807,1.599176432,1.567324989
0.03,1.565384681,1.560271025,1.569696821,1.561971906
0.04,1.517997285,1.54237811,1.493356756,1.548860074
0.05,1.402866353,1.500820409,1.326110312,1.520507288
0.06,1.19392894,1.430641047,1.052936955,1.474295589
0.07,0.9707189412,1.360876711,0.7685953248,1.424662132
0.08,0.8340855608,1.313878495,0.5810027739,1.387354231
0.09,0.7525212199,1.274586912,0.4802078891,1.360818266
0.1,0.6702285077,1.230140855,0.4117907194,1.338583297
0.11,0.5824043221,1.186908957,0.3525793823,1.319658542
0.12,0.5150958763,1.157769966,0.3063563352,1.306081047
0.13,0.4791535368,1.143888965,0.2778247456,1.298232481
0.14,0.4642387928,1.138589792,0.2637977281,1.294444733
0.15,0.4587572698,1.13674573,0.2580254963,1.292777761
0.16,0.4567920259,1.136095698,0.2557982556,1.291976285
0.17,0.45604378,1.135826382,0.2547379604,1.291444635
0.18,0.455704402,1.135667496,0.2539258461,1.290952578
0.19,0.4554978555,1.135532178,0.2530656749,1.290419119
0.2,0.4553287098,1.135392572,0.2520569076,1.289810238
0.21,0.4551619977,1.135238978,0.2508399863,1.289102122
0.22,0.4549829543,1.135066803,0.2493542675,1.288270428
0.23,0.4547833404,1.134872382,0.247528599,1.287287286
0.24,0.4545565053,1.13465154,0.2452778901,1.28612008
0.25,0.454295332,1.134398942,0.2425005479,1.284730918
0.26,0.4539910842,1.1341076,0.2390778717,1.283077241
0.27,0.4536324073,1.133768286,0.2348781678,1.281114513
0.28,0.453204122,1.133368704,0.2297693321,1.278802322
0.29,0.4526855357,1.132892292,0.2236441102,1.276115125
0.3,0.4520479429,1.132316434,0.216460419,1.273057875
0.31,0.4512508261,1.13160978,0.2082923254,1.269683712
0.32,0.4502359932,1.130728205,0.1993747108,1.26610633
0.33,0.448918447,1.129608679,0.1901124072,1.262496172
0.34,0.4471721862,1.12816007,0.1810276045,1.259053231
0.35,0.4448085547,1.126249811,0.1726487038,1.255962043
0.36,0.4415451416,1.123686304,0.1653847719,1.253348335
0.37,0.4369677656,1.120201309,0.1594449051,1.251257953
0.38,0.4305052886,1.115450092,0.1548331053,1.249664318
0.39,0.4214818294,1.109076867,0.1514034701,1.248494334
0.4,0.4093793986,1.100924285,0.1489361689,1.247657148
0.41,0.3944088391,1.091394548,0.147201052,1.247065286
0.42,0.3780560033,1.081651789,0.1459955582,1.24664557
0.43,0.3627204632,1.073162283,0.1451592826,1.246342039
0.44,0.3503550609,1.066823358,0.1445737354,1.246114407
0.45,0.3415513595,1.062644687,0.1441553348,1.245934811
0.46,0.3358190398,1.060121211,0.1438468207,1.245784454
0.47,0.3322916711,1.058677536,0.143609591,1.24565081
0.48,0.3301834241,1.057872823,0.1434177554,1.245525532
0.49,0.3289332667,1.057425529,0.1432538639,1.245402991
0.5,0.3281865314,1.057172701,0.1431059744,1.24527928
0.51,0.3277328502,1.057024897,0.1429656897,1.245151566
0.52,0.3274510175,1.05693423,0.1428268584,1.245017656
0.53,0.327271629,1.056875188,0.1426847137,1.244875714
0.54,0.3271545764,1.056834049,0.142535296,1.244724068
0.55,0.3270762447,1.056803272,0.1423750552,1.244561083
0.56,0.3270224035,1.056778596,0.142200562,1.244385056
0.57,0.32698427,1.056757532,0.1420082861,1.24419414
0.58,0.3269563038,1.056738577,0.1417944063,1.243986272
0.59,0.3269349432,1.056720792,0.1415546338,1.243759105
0.6,0.3269178635,1.056703574,0.1412840304,1.243509931
0.61,0.3269035285,1.056686525,0.1409768077,1.243235604
0.62,0.3268909116,1.056669372,0.1406260957,1.242932435
0.63,0.3268793205,1.056651923,0.1402236665,1.242596089
0.64,0.3268682828,1.056634036,0.1397596007,1.24222144
0.65,0.3268574721,1.056615604,0.1392218833,1.241802422
0.66,0.3268466586,1.056596539,0.1385959125,1.241331836
0.67,0.3268356764,1.056576763,0.137863913,1.240801137
0.68,0.3268244019,1.05655621,0.1370042443,1.240200193
0.69,0.3268127384,1.056534811,0.1359906137,1.239517037
0.7,0.3268006062,1.056512502,0.1347912272,1.238737618
0.71,0.3267879361,1.056489216,0.1333679592,1.237845622
0.72,0.3267746636,1.056464882,0.1316757007,1.236822423
0.73,0.3267607265,1.056439424,0.1296621672,1.235647305
0.74,0.3267460614,1.056412763,0.1272686144,1.23429814
0.75,0.3267306023,1.05638481,0.124432106,1.232752785
0.76,0.3267142787,1.05635547,0.1210901424,1.230991466
0.77,0.3266970142,1.05632464,0.1171884308,1.229000381
0.78,0.3266787248,1.056292204,0.1126921294,1.226776467
0.79,0.3266593181,1.056258037,0.1075997481,1.224332762
0.8,0.3266386911,1.056221999,0.1019570174,1.221703024
0.81,0.3266167291,1.056183935,0.09586602862,1.218943635
0.82,0.3265933032,1.056143675,0.08948421744,1.216130812
